variable,category,units,description
aet_mm_s01,catchment_attributes,mm,actual evapotranspiration (January mean)
aet_mm_s02,catchment_attributes,mm,actual evapotranspiration (February mean)
aet_mm_s03,catchment_attributes,mm,actual evapotranspiration (March mean)
aet_mm_s04,catchment_attributes,mm,actual evapotranspiration (April mean)
aet_mm_s05,catchment_attributes,mm,actual evapotranspiration (May mean)
aet_mm_s06,catchment_attributes,mm,actual evapotranspiration (June mean)
aet_mm_s07,catchment_attributes,mm,actual evapotranspiration (July mean)
aet_mm_s08,catchment_attributes,mm,actual evapotranspiration (August mean)
aet_mm_s09,catchment_attributes,mm,actual evapotranspiration (September mean)
aet_mm_s10,catchment_attributes,mm,actual evapotranspiration (October mean)
aet_mm_s11,catchment_attributes,mm,actual evapotranspiration (November mean)
aet_mm_s12,catchment_attributes,mm,actual evapotranspiration (December mean)
aet_mm_syr,catchment_attributes,mm,actual evapotranspiration (Annual mean)
area,catchment_attributes,km2,catchment area (aggregated)
area_fraction_used_for_aggregation,catchment_attributes,fraction,fraction area used for aggregation of catchment attributes
ari_ix_sav,catchment_attributes,index (x10),global aridity index (spatial mean)
cls_cl_smj,catchment_attributes,classes,climate strata from GeNS (n = 125)
cly_pc_sav,catchment_attributes,%,clay fraction in soil (spatial mean)
clz_cl_smj,catchment_attributes,classes,climate zones from GEnS (n = 18)
cmi_ix_s01,catchment_attributes,index (x10),climate moisture index (January mean)
cmi_ix_s02,catchment_attributes,index (x10),climate moisture index (February mean)
cmi_ix_s03,catchment_attributes,index (x10),climate moisture index (March mean)
cmi_ix_s04,catchment_attributes,index (x10),climate moisture index (April mean)
cmi_ix_s05,catchment_attributes,index (x10),climate moisture index (May mean)
cmi_ix_s06,catchment_attributes,index (x10),climate moisture index (June mean)
cmi_ix_s07,catchment_attributes,index (x10),climate moisture index (July mean)
cmi_ix_s08,catchment_attributes,index (x10),climate moisture index (August mean)
cmi_ix_s09,catchment_attributes,index (x10),climate moisture index (September mean)
cmi_ix_s10,catchment_attributes,index (x10),climate moisture index (October mean)
cmi_ix_s11,catchment_attributes,index (x10),climate moisture index (November mean)
cmi_ix_s12,catchment_attributes,index (x10),climate moisture index (December mean)
cmi_ix_syr,catchment_attributes,index (x10),climate moisture index (Annual mean)
crp_pc_sse,catchment_attributes,%,cropland extent (spatial mean)
dis_m3_pmn,catchment_attributes,m3 s-1,natural discharge (annual min)
dis_m3_pmx,catchment_attributes,m3 s-1,natural discharge (annual max)
dis_m3_pyr,catchment_attributes,m3 s-1,natural discharge (annual mean)
dor_pc_pva,catchment_attributes,index,degree of regulation (at pour point)
ele_mt_sav,catchment_attributes,m above sea level,elevation (spatial mean)
ele_mt_smn,catchment_attributes,m above sea level,elevation (spatial min)
ele_mt_smx,catchment_attributes,m above sea level,elevation (spatial max)
ero_kh_sav,catchment_attributes,kg/hectare/yr,soil erosion (spatial mean)
fec_cl_smj,catchment_attributes,classes,"freshwater ecoregions (spatial majority, n = 426)"
fmh_cl_smj,catchment_attributes,classes,"freshwater major habitat types (spatial majority, n = 13)"
for_pc_sse,catchment_attributes,%,forest cover extent (spatial mean)
gdp_ud_sav,catchment_attributes,USD ($),gross domestic product (spatial mean)
gdp_ud_ssu,catchment_attributes,USD ($),gross domestic product (sum over subbasin)
gla_pc_sse,catchment_attributes,%,glacier extent (spatial mean)
glc_cl_smj,catchment_attributes,classes,"land cover classes (spatial majority, n = 22)"
glc_pc_s01,catchment_attributes,%,land cover class 1 (spatial mean)
